,Census Tract,Total Population,ZIP,Longitude,Latitude,Ozone,PM2.5,Diesel PM,Pesticides,Tox. Release,Traffic,Asthma,Low Birth Weight,Cardiovascular Disease,Poverty,Unemployment
7467,6073007100,5029,92106,-117.2390197,32.7171992,0.04,11.21,8.092,0.0,280.5645135,471.94,22.58,0.51,3.84,16.9,9.1
7468,6061021901,3060,95703,-120.9841213,38.993655,0.053,7.02122524,3.07,0.0,0.184441469,384.45,35.21,3.81,4.66,27.5,9.2
7469,6081608001,3393,94404,-122.2576522,37.55112,0.033,8.69794377,11.98,0.0,218.5099848,154.97,22.07,5.6,5.49,10.6,3.1
7470,6013348000,4587,94549,-122.132124,37.9026902,0.035,7.85958451,9.558,0.29,620.5881131,2471.88,23.4,3.59,5.83,6.7,7.9
7471,6075021600,3836,94131,-122.4381417,37.7454964,0.03,8.69794377,48.53,0.0,197.9997908,271.66,33.53,3.2,5.97,15.6,5.7
7472,6037300100,6002,91214,-118.2325716,34.2442558,0.053,10.79,3.085,0.0,1162.874723,147.36,33.37,2.34,7.3,12.1,2.7
7474,6085506802,5237,95124,-121.93624,37.24693,0.038,10.37,12.457,0.0,85.61849814,1040.63,21.51,2.72,4.84,11.4,9.0
7476,6083000700,6408,93105,-119.6645571,34.4611878,0.04,5.34450672,2.234,4.48,0.027522775,328.17,19.22,5.17,2.63,14.8,4.3
7477,6059021912,4828,92869,-117.7562327,33.8168761,0.051,10.79,4.916,0.0,16008.52905,738.21,23.32,3.14,5.28,5.7,4.1
7478,6061021044,5719,95747,-121.3353191,38.7832996,0.051,7.85958451,15.021,0.0,54.47979023,315.1,35.61,2.19,7.81,14.6,5.8
7479,6083002928,4089,93117,-119.8716978,34.4129398,0.04,4.50614746,3.239,0.0,0.006036363,364.65,33.73,4.29,5.62,86.7,8.8
7480,6073007502,3227,92107,-117.2489105,32.747805,0.04,10.79,13.8,0.0,205.6718506,388.69,36.11,4.49,5.77,23.4,3.2
7482,6111001800,4302,93003,-119.230938,34.2960463,0.044,9.53630303,2.256,1.86,57.51358225,480.44,44.23,1.56,7.82,5.4,4.7
7483,6059062630,1722,92612,-117.7890788,33.6520157,0.048,9.53630303,6.178,0.0,8377.180168,2444.7,12.12,4.17,3.28,8.1,4.7
7484,6059032037,4929,92692,-117.6356879,33.6200601,0.05,8.69794377,5.581,0.0,2475.433955,371.5,20.54,3.06,6.39,11.4,4.3
7485,6061021128,2686,95677,-121.2609977,38.7870482,0.053,7.85958451,13.778,0.0,27.92298887,357.92,41.78,4.33,6.72,15.7,9.2
