Census_Tract,Ozone,PM2_5,Diesel_PM,Pesticides,Tox_Release,Traffic
6047001005,0.057,12.89,22.831,73.16,43.9,808.6
6099003700,0.057,12.89,11.44,2814.76,387.0781063,809.5
6077002402,0.048,12.05,23.068,0.0,951.7306167,1123.75
6037239320,0.046,12.05,26.33,0.0,4639.826624,1154.06
6037542601,0.044,12.05,18.7,0.0,5934.910476,604.98
6037122121,0.055,12.05,39.93,0.0,1150.103412,970.75
6037219800,0.046,12.05,24.45,0.0,2135.956694,2880.28
6037541603,0.044,12.05,18.7,0.0,6010.256126,752.18
6037402303,0.057,12.89,27.67,0.0,7381.369339,1877.05
6065042209,0.065,12.89,39.41,2.59,862.6141071,1563.53
6037433801,0.048,12.05,22.477,0.01,8544.413852,706.85
6037601502,0.044,12.05,38.92,5.51,3822.370401,3005.12
6037121020,0.055,12.05,21.73,0.03,1031.72339,2025.76
6037572301,0.042,11.21,26.667,10.3,9073.592886,2119.0
6037204700,0.046,12.89,43.442,0.0,13177.75685,2876.64
6037535606,0.044,12.05,25.04,0.0,6054.879015,1060.77
6037239330,0.046,12.05,26.33,0.0,4989.856724,1269.31
6019002400,0.065,15.4,54.06,0.0,2779.26855,1124.63
6099000304,0.053,12.89,15.31,10.54,2725.721866,306.4
6037122000,0.055,11.63,21.303,0.0,974.704336,2435.26
6037534101,0.046,12.05,24.061,62.12,9976.353262,2121.54
6077003802,0.048,11.63,11.653,170.57,903.5315492,1388.33
6037602801,0.044,12.05,24.689,0.0,4938.233744,2860.99
6099002501,0.053,12.89,17.3,28.97,972.7615771,768.49
6077003900,0.046,11.21,4.905,1550.07,457.9846799,183.14
6019001410,0.065,15.4,24.691,1086.99,5796.375231,315.72
6071002110,0.065,12.89,45.299,0.0,21406.61249,920.88
6037532303,0.046,12.05,31.097,0.11,13896.8945,1636.33
6037123010,0.055,12.05,39.086,0.0,1197.572948,1010.75
6037296210,0.042,11.21,50.719,0.0,6724.976346,743.12
6037124103,0.055,12.05,22.129,0.0,1249.719759,1224.33
6071005400,0.068,12.05,32.75,0.0,930.3799215,876.58
6037104703,0.055,11.63,23.143,0.0,900.777144,733.44
6037239310,0.046,12.05,26.33,0.0,4528.608952,4289.98
6037575802,0.042,11.21,160.262,2.75,12200.14975,584.65
6037541002,0.042,12.05,27.16,24.05,8163.047022,816.41
6037229300,0.046,12.89,26.33,0.0,4477.010858,867.02
6037602600,0.044,12.05,23.4,4.23,4942.788289,829.31
6037570402,0.042,12.05,29.03,0.0,6219.137885,2895.06
6037224010,0.046,12.89,44.394,0.0,4753.25072,2860.01
6071001400,0.062,12.89,37.47,0.84,5173.316963,509.81
6031001100,0.062,17.08,14.291,87.78,118.9653118,262.39
6037294620,0.042,11.21,36.66,0.0,10211.22489,949.48
6037294900,0.042,11.21,49.83,0.0,8089.268621,1215.43
6071001501,0.062,12.89,37.47,0.06,5257.633051,756.15
6037294830,0.042,11.21,49.83,0.0,8378.154679,435.19
6099001700,0.053,12.89,25.26,0.0,708.9262774,780.28
6099001601,0.053,12.89,16.499,0.0,615.0,761.71
6071005800,0.065,12.05,38.37,0.0,710.0996388,337.48
6037541100,0.044,12.05,26.06,0.28,6067.434965,573.16
6037533806,0.046,12.05,23.1,19.32,9453.260823,3225.17
6037542402,0.042,12.05,32.549,0.0,6332.774437,1290.68
6077002701,0.046,13.61,13.403,76.67,496.3526979,1489.38
6037208000,0.046,12.89,60.69,0.0,4766.535958,2515.15
6037229100,0.046,12.89,24.663,0.0,5314.230576,998.08
6037301602,0.053,12.05,28.458,0.0,1886.911583,3264.62
6037533901,0.046,12.05,26.21,50.66,9447.032039,681.87
6001409000,0.03,8.69794377,38.28,0.0,596.1677629,1419.88
6037541400,0.044,12.05,18.7,0.0,5852.679764,447.04
6037534102,0.046,12.05,26.21,77.12,9499.925012,633.32
6037573201,0.042,11.21,29.12,0.0,8930.870789,657.25
6037531301,0.046,12.47,56.52,0.0,32280.80867,2802.31
6037553702,0.044,12.05,27.039,0.0,7011.650965,1855.98
6037536104,0.044,12.05,18.53,0.06,8248.814046,1685.11
6037535001,0.046,12.05,24.84,0.0,5460.691009,1169.64
6037543000,0.044,12.05,27.726,0.5,6326.085649,392.43
6019000501,0.065,15.4,55.345,1.39,3558.547953,1127.73
6099003802,0.057,12.89,15.512,2.73,590.6995938,1000.28
6037404802,0.051,11.21,23.13,0.02,10733.42184,1611.54
6037542401,0.044,12.05,25.897,0.0,6118.974219,611.28
6037199000,0.046,12.89,29.797,0.0,4446.100608,2067.93
6037187102,0.048,12.47,26.943,0.0,3279.973919,2074.23
6037553801,0.044,12.05,25.093,0.0,13253.50294,489.55
6071001504,0.062,12.89,40.55,0.79,5801.706859,1261.73
6037232500,0.046,12.47,16.12,0.0,3494.124106,1117.25
6037404702,0.051,11.21,20.024,8.41,8944.520815,2803.8
6099000803,0.053,12.89,23.74,2500.12,1184.430905,1373.55
6037241001,0.044,12.05,25.17,0.0,5405.995615,3597.62
6037402702,0.057,12.89,27.824,1.34,6609.791028,692.46
6037240200,0.046,12.05,24.76,0.0,4966.921631,4039.06
6071001803,0.062,13.31,35.071,0.4,17778.00932,1589.21
6037530902,0.046,12.89,31.02,0.0,11836.35893,836.62
6037602002,0.044,12.05,23.902,6.28,4851.914595,2995.35
6071007200,0.065,12.05,31.229,1.95,457.4076462,1267.48
6037433102,0.05,11.63,22.47,0.9,6514.809274,1209.56
6037540000,0.044,12.05,24.64,0.0,6565.783176,2861.79
6019004404,0.062,15.4,36.743,0.0,2483.819106,627.88
6037220100,0.046,12.05,24.45,0.22,1991.390806,1121.98
6037540700,0.044,12.05,19.884,0.0,5736.395768,2609.34
6037404701,0.051,11.21,17.878,1.87,7514.396853,2982.11
6037531602,0.046,12.05,49.215,0.0,25701.22822,1684.33
6037204910,0.046,12.89,56.52,0.0,23176.69895,4101.43
6037543400,0.042,12.05,27.114,0.06,7947.751309,1988.92
6037239801,0.046,12.05,26.231,0.0,5198.848361,877.95
6037553802,0.044,12.05,27.361,23.63,6627.99609,1022.2
6037530500,0.046,12.47,35.322,0.0,13929.25493,2344.96
6019008501,0.065,16.24,8.862,8236.65,1125.360835,213.11
6037408800,0.057,12.89,23.995,0.0,7821.936208,734.94
6001409100,0.03,8.69794377,37.55,0.0,611.9293945,2145.76
6065030103,0.065,12.89,47.253,0.0,969.9939442,1661.21
6065041410,0.06,13.31,31.93,0.0,5663.442025,2942.21
