Census_Tract,Total_Population,ZIP,Longitude,Latitude
6037188100,4076,90039,-118.2703438,34.1366071
6065040204,3716,92509,-117.3999055,33.9997288
6037240500,5655,90003,-118.275663,33.9469248
6071004104,5257,92407,-117.3464052,34.1524361
6037602509,4118,90250,-118.3338741,33.9178467
6047001005,2406,95348,-120.5116548,37.3162975
6099003700,4796,95380,-120.883606,37.4647928
6077002402,2219,95206,-121.2839329,37.9162284
6037239320,3444,90003,-118.2717384,33.9785676
6037542601,3016,90222,-118.2265977,33.9058075
6037122121,2833,91352,-118.3705556,34.2142143
6037219800,3310,90016,-118.3547601,34.029939
6037541603,2983,90222,-118.2207001,33.913976
6037402303,3996,91768,-117.7559076,34.0671263
6065042209,4579,92507,-117.3422164,33.9951231
6037433801,6197,91733,-118.0364142,34.0494754
6037601502,3963,90304,-118.3635823,33.9400821
6037121020,3741,91605,-118.4020625,34.2121219
6037572301,3833,90810,-118.2215755,33.8219958
6037204700,4972,90023,-118.2124515,34.0309821
6037535606,1860,90280,-118.2252846,33.9476557
6037239330,2879,90001,-118.2631029,33.9783876
6019002400,4959,93703,-119.7810169,36.758343
6099000304,5003,95367,-120.9283662,37.7231477
6037122000,5446,91605,-118.4183782,34.2147689
6037534101,2295,90201,-118.16579,33.9718406
6077003802,6519,95206,-121.2968776,37.9058022
6037602801,3819,90044,-118.3001717,33.927402
6099002501,7036,95358,-120.9844811,37.5947739
6077003900,1749,95206,-121.4581872,37.9269308
6019001410,9109,93725,-119.7181677,36.711099
6071002110,7020,91730,-117.5668167,34.0907982
6037532303,4464,90040,-118.1463431,34.0003294
6037123010,4580,91352,-118.3745717,34.2027436
6037296210,3019,90731,-118.2839528,33.7476138
6037124103,2030,91606,-118.3834122,34.1884919
6071005400,6590,92405,-117.2908999,34.1322998
6037104703,2397,91331,-118.4005905,34.2552325
6037239310,3996,90003,-118.2773062,33.9785291
6037575802,5167,90813,-118.197207,33.778962
6037541002,3209,90746,-118.2728118,33.8751813
6037229300,5498,90011,-118.2706778,33.9979135
6037602600,7910,90249,-118.3195843,33.9112721
6037570402,3496,90805,-118.1986552,33.8685443
6037224010,2433,90015,-118.2658977,34.0367637
6071001400,2923,91762,-117.6510112,34.0667963
6031001100,6613,93230,-119.6308433,36.3080545
6037294620,4219,90744,-118.2479267,33.7874696
6037294900,3265,90744,-118.2774453,33.7748702
6071001501,4052,91764,-117.6409852,34.0672615
6037294830,3707,90744,-118.267011,33.7729434
6099001700,2589,95351,-121.0071046,37.6373175
6099001601,4803,95351,-121.0159498,37.6296152
6071005800,3981,92410,-117.2844304,34.1092386
6037541100,3321,90220,-118.2607508,33.8984704
6037533806,4165,90201,-118.1704919,33.9722323
6037542402,3152,90221,-118.2124134,33.881969
6077002701,6409,95215,-121.2359945,37.9647921
6037208000,6893,90026,-118.2560631,34.0625684
6037229100,4557,90011,-118.2520958,33.9921607
6037301602,3908,91201,-118.2987272,34.1621154
6037533901,6065,90201,-118.1555455,33.9740105
6001409000,3552,94621,-122.2213677,37.7200105
6037541400,7312,90222,-118.2337235,33.9131395
6037534102,6263,90201,-118.1616452,33.9702059
6037573201,4930,90806,-118.1853182,33.8006191
6037531301,5601,90023,-118.1822336,34.0217436
6037553702,4902,90723,-118.1828739,33.8975428
6037536104,4052,90280,-118.1782284,33.9448778
6037535001,4325,90001,-118.2531399,33.9714062
6037543000,4345,90220,-118.2582626,33.8906679
6019000501,2815,93721,-119.774839,36.7426787
6099003802,5860,95380,-120.8576989,37.4861261
6037404802,4335,91706,-117.9690103,34.072647
6037542401,4912,90221,-118.2109036,33.8923624
6037199000,5066,90031,-118.2197131,34.0800585
6037187102,3254,90039,-118.2514556,34.1090483
6037553801,4174,90723,-118.1687296,33.8927048
6071001504,5676,91764,-117.6199919,34.0670436
6037232500,4619,90062,-118.3108167,33.9920834
6037404702,5882,91706,-117.9850227,34.0707595
6099000803,4789,95350,-121.0393581,37.6767786
6037241001,4285,90061,-118.2679732,33.9296426
6037402702,6313,91767,-117.7259547,34.0640498
6037240200,5252,90003,-118.2761415,33.9560337
6071001803,2985,91761,-117.6174205,34.040951
6037530902,4160,90063,-118.1810137,34.0445158
6037602002,3195,90250,-118.3402541,33.9274077
6071007200,6798,92408,-117.2622655,34.0763612
6037433102,5085,91733,-118.0584597,34.0649651
6037540000,6973,90262,-118.1810628,33.9220335
6019004404,3556,93650,-119.792414,36.8444241
6037220100,2334,90016,-118.3651555,34.0251238
6037540700,3014,90059,-118.2453429,33.9255436
6037404701,5873,91706,-117.9962625,34.0721312
6037531602,4494,90022,-118.1647906,34.0186759
6037204910,3105,90023,-118.1955701,34.0248828
6037543400,4090,90746,-118.2687215,33.8526247
6037239801,3412,90001,-118.2629318,33.9660533
6037553802,6342,90723,-118.1719652,33.8861963
6037530500,4567,90022,-118.165883,34.0387595
6019008501,4585,93662,-119.5492976,36.5887994
