,Census Tract,Total Population,ZIP,Longitude,Latitude
4290,6001440335,6496,94587,-122.0122841,37.5913508
4292,6037403721,4998,91722,-117.8769958,34.097573
4293,6037113237,3661,91311,-118.6117577,34.244544
4294,6065045000,3424,92234,-116.4698341,33.7750205
4295,6037570902,3616,90713,-118.1210795,33.8532314
4296,6065046405,3974,92595,-117.2726286,33.6205579
4297,6059099905,3053,92683,-118.0301153,33.7704951
4298,6037406101,3139,91723,-117.8911488,34.0902906
4299,6037267404,2806,90025,-118.4605333,34.0456314
4300,6085504422,3672,95035,-121.906949,37.4585704
4301,6005000500,2995,95642,-120.7391956,38.3175704
4302,6029000910,9904,93306,-118.9067286,35.4138845
4303,6065040703,2780,92860,-117.5346297,33.9420596
4304,6059062626,2773,92612,-117.8396723,33.652607
4305,6073018100,5659,92054,-117.3611032,33.1771015
4306,6073003204,3453,91902,-117.0578802,32.656474
