Census_Tract,Asthma,Low_Birth_Weight,Cardiovascular_Disease,Poverty,Unemployment,Traffic
6071005400,118.49,7.06,13.71,71.2,18.4,876.58
6037104703,73.67,5.3,7.69,75.1,12.7,733.44
6037239310,95.56,6.5,13.17,75.0,10.5,4289.98
6037575802,122.08,7.66,11.92,76.4,12.1,584.65
6037541002,70.62,6.28,7.67,35.9,16.9,816.41
6037229300,63.52,6.76,9.63,87.3,11.7,867.02
6037602600,86.69,7.61,10.4,36.6,12.9,829.31
6037570402,79.96,7.28,9.9,43.3,14.3,2895.06
6037224010,78.84,6.27,8.44,84.1,11.6,2860.01
6071001400,55.61,4.83,10.01,46.6,17.7,509.81
6031001100,138.1,6.35,9.47,73.2,20.6,262.39
6037294620,70.22,5.04,10.57,56.6,10.9,949.48
6037294900,70.22,5.28,10.57,72.5,18.6,1215.43
6071001501,75.97,6.17,11.93,51.3,7.5,756.15
6037294830,70.22,5.89,10.57,69.2,12.2,435.19
6099001700,95.48,3.9,15.53,79.8,21.1,780.28
6099001601,97.69,7.39,16.07,64.2,19.8,761.71
6071005800,142.88,6.68,20.61,88.3,23.7,337.48
6037541100,96.77,6.37,11.22,52.4,13.8,573.16
6037533806,48.15,5.08,10.08,60.7,8.9,3225.17
6037542402,79.51,4.77,12.17,40.7,16.3,1290.68
6077002701,53.25,5.19,10.2,64.3,20.6,1489.38
6037208000,42.23,6.95,5.98,60.8,12.2,2515.15
6037229100,63.52,6.11,9.63,68.2,7.8,998.08
6037301602,29.83,7.26,8.73,33.5,13.3,3264.62
6037533901,42.63,4.77,8.76,71.8,11.7,681.87
6001409000,147.84,6.15,11.34,52.5,13.3,1419.88
6037541400,102.03,5.45,12.0,69.4,17.8,447.04
6037534102,48.15,4.52,10.08,67.8,11.3,633.32
6037573201,81.84,7.83,9.57,56.9,13.5,657.25
6037531301,53.11,5.31,8.22,73.6,16.1,2802.31
6037553702,61.93,5.65,11.54,58.4,11.2,1855.98
6037536104,43.82,4.34,11.1,57.4,13.0,1685.11
6037535001,79.03,6.76,12.37,64.8,10.5,1169.64
6037543000,105.05,6.96,12.21,35.3,15.6,392.43
6019000501,68.28,5.62,9.0,72.9,12.5,1127.73
6099003802,82.64,4.59,14.43,71.2,23.7,1000.28
6037404802,62.29,6.26,10.58,55.6,14.5,1611.54
6037542401,87.61,5.95,13.56,51.8,17.7,611.28
6037199000,49.93,6.13,6.29,64.5,7.8,2067.93
6037187102,61.04,5.93,9.09,39.8,8.1,2074.23
6037553801,61.93,5.73,11.54,57.9,12.0,489.55
6071001504,56.25,7.4,9.6,55.2,12.4,1261.73
6037232500,89.2,7.75,10.13,55.5,12.7,1117.25
6037404702,62.29,4.25,10.58,59.0,14.2,2803.8
6099000803,97.48,5.82,12.46,72.9,14.6,1373.55
6037241001,85.81,8.81,10.32,68.3,21.1,3597.62
6037402702,77.76,4.34,9.21,71.4,13.6,692.46
6037240200,95.56,6.89,13.17,75.7,15.5,4039.06
6071001803,51.6,5.93,14.93,39.0,8.2,1589.21
6037530902,53.1,7.39,10.63,75.6,17.9,836.62
6037602002,59.18,6.99,7.71,50.8,15.6,2995.35
6071007200,60.46,6.16,9.14,71.8,10.5,1267.48
6037433102,51.92,6.42,8.43,59.9,7.6,1209.56
6037540000,56.29,6.44,10.77,52.8,11.0,2861.79
6019004404,113.06,6.95,8.93,65.1,17.8,627.88
6037220100,100.36,9.21,9.96,42.5,10.3,1121.98
6037540700,89.12,5.52,9.98,70.0,20.7,2609.34
6037404701,62.29,6.07,10.58,52.8,11.5,2982.11
6037531602,62.41,5.69,12.06,70.3,17.1,1684.33
6037204910,60.77,4.56,9.33,70.5,8.5,4101.43
6037543400,93.65,5.25,9.43,32.6,12.2,1988.92
6037239801,77.55,7.01,11.48,74.8,9.0,877.95
6037553802,53.74,4.78,9.57,56.9,10.4,1022.2
6037530500,60.98,5.51,11.78,67.6,10.5,2344.96
6019008501,86.0,4.35,11.19,83.6,23.7,213.11
6037408800,69.55,5.87,9.41,67.1,6.7,734.94
6001409100,189.95,8.03,14.44,55.8,12.6,2145.76
6065030103,107.28,5.08,12.11,63.0,18.6,1661.21
6065041410,43.29,5.06,13.26,67.4,10.0,2942.21
6037297110,84.98,7.74,9.68,56.1,16.8,678.7
6019002702,119.79,7.52,17.15,79.0,14.4,599.92
6037530601,53.1,5.07,10.63,60.9,16.8,1582.07
6029002000,107.68,6.45,10.38,74.9,10.2,662.76
6037541500,102.03,4.18,12.0,61.6,12.2,725.69
6037572500,72.09,6.89,9.55,65.5,25.3,467.94
6037104310,57.29,6.69,5.21,57.6,14.8,1816.25
6065042508,56.62,6.9,10.37,61.8,15.1,685.71
6037241120,92.97,8.92,12.03,71.9,19.9,3617.7
6037242300,88.42,6.42,12.7,75.3,18.7,644.17
6001408800,161.73,8.75,11.56,66.5,20.1,411.44
6029006201,76.89,7.35,10.29,67.0,15.8,210.71
6037122200,76.89,3.78,8.4,47.7,10.8,1508.63
6037543801,60.31,8.86,9.96,30.4,16.5,2376.9
6073003901,104.87,6.38,8.02,77.7,22.0,763.55
6029004604,52.62,6.47,9.72,56.4,13.8,281.59
6029002600,91.47,6.21,9.25,59.2,16.5,609.11
6037231720,92.32,6.39,10.6,70.7,14.2,4043.36
6065030503,62.49,4.57,9.23,79.6,14.1,762.99
6077003700,53.28,5.23,10.21,64.0,29.0,589.87
6037191810,54.41,4.46,8.88,64.8,16.6,1545.4
6037502500,63.24,3.57,13.82,42.7,14.5,723.79
6037542602,94.08,6.61,10.9,62.3,12.1,585.05
6019003400,125.06,6.76,11.33,72.4,20.5,1026.47
6065040102,54.2,6.03,11.94,45.4,26.3,1649.62
6037530801,53.1,5.17,10.63,62.7,10.6,2413.14
6037227020,63.52,5.63,9.63,79.3,8.9,791.01
6037533902,43.88,5.58,9.0,60.9,10.5,578.32
6037530802,53.1,4.85,10.63,51.0,14.6,1932.71
6047002201,115.94,6.88,16.02,75.2,15.6,368.48
6037534502,55.85,5.4,10.47,55.3,8.5,819.88
6037294701,70.22,3.75,10.57,64.9,9.5,654.45
6037534900,71.27,4.6,11.46,59.8,9.3,1070.58
6037195802,54.03,7.39,7.65,58.5,14.7,2912.56
6037534405,48.15,6.89,10.08,71.9,8.8,948.03
6071007108,95.84,5.56,16.38,54.7,9.6,2703.37
6037104401,73.79,6.3,7.7,50.8,12.4,1700.28
6037570403,75.7,5.59,9.45,64.9,16.7,1372.36
6111004902,116.73,4.69,15.04,73.0,7.8,1017.34
6037402501,70.31,4.85,10.29,73.7,12.1,505.86
6037570203,64.59,6.61,8.21,51.7,11.9,2325.63
6037123204,68.36,5.33,11.98,60.5,11.2,1087.32
6037229200,63.52,6.01,9.63,75.4,6.7,914.29
6037127220,98.74,7.54,13.75,66.8,10.2,1265.12
6073005100,73.61,7.34,7.52,67.7,20.4,1071.3
6037542106,87.57,5.28,13.56,68.8,14.7,1631.88
6037123203,60.29,4.59,10.66,67.6,15.6,854.59
6037192700,59.55,7.31,6.41,58.8,16.2,2309.27
6037239201,95.56,4.45,13.17,73.4,10.5,4092.07
6037532700,70.67,3.73,10.99,62.5,11.9,723.67
6037232120,92.32,6.11,10.6,70.9,13.3,4744.05
6037571701,84.93,6.47,10.4,53.9,18.1,2288.07
